codelettres	numero	categorie	compositeurs	oeuvres	interpretes	remarques
hae	3	classique	Händel, Georg Fiedrich	l'intégrale des concerti pour orgue	Herbert Tachezi (orgue), orchestre de Vienne, direction Nikolaus Harnoncourt	3CD
hae	4	classique	Händel, Georg Fiedrich	Water Music	The english concert, Trevor Pinnock	
hae	5	classique	Händel, Georg Fiedrich	6 cantates profanes	Henri Ledroit	
hae	7	classique	Händel, Georg Fiedrich	Trio sonatas	The english concert, Trevor Pinnock	
hae	8	classique	Händel, Georg Fiedrich	Israël en Egypte, Les chemins de sion	Choeurs et orchestre Monteverdi	2CD
hae	9	classique	Händel, Georg Fiedrich	cantates italiennes	Emma Kirby (soprano), the academy of ancient music, Christopher Hogwood (clavecin)	
hae	22	classique	Haendel, Haydn	Ode for th birthday of Queen Anne, Anthem for Foundlingh Hospital de Haendel, Messe brève en fa majeur de Haydn	Choeur de la cathédrale d'Oxford, Academy of ancient music, Direction Simon Preston	
hae	6	classique	Händel, Georg Fiedrich	6 sonates pour flutes et basee continue	Aurélie Nicolet (flute), Jaccottet (clavecin), Fujiwara (violoncelle)	
hae	14	classique	Händel, Georg Fiedrich	Messiah, A Sacred Oratorio	Choeur de la cathédrale d'Oxford, Academy of Ancient Music, Hogwood	3 CD / CD rayés
hae	10	classique	Händel, Georg Fiedrich	Dixit dominicus	Choeur et orchestre Montéverdi, Johne elliot Gardiner	
hae	11	classique	Händel, Georg Fiedrich	Belshazzar, Oratorio	Stockholmer Kammerchor, Eric Ericson	3CD
hae	12	classique	Händel, Georg Fiedrich	Coronation Anthems	Choeur de l'abbeye de Westminster, The english concert, Trevor Pinnock	
hae	17	classique	Händel, Georg Fiedrich	Allegre, Il pensero Ed Il Moderato	Choeur et orchestre Monteverdi, John Eliot Gardiner	2CD
hae	24	classique	Händel, Georg Fiedrich	Water Music, Music For the Royal Fireworks	Le concert des nations, Jordi Savall	
hae	23	classique	Händel, Georg Fiedrich	Water Music, Concertos pour orgue en ré mineur (hwv304) et en fa majeur (hwv295) 	Herbert Tachezi (orgue), Concentus musicus Wien, Nikolaus Harnoncourt	
hae	21	classique	Händel, Georg Fiedrich	Concerti grossi Op.3	Les musiciens du Louvre, Marc Minkowski	
hae	19	classique	Händel, Georg Fiedrich	Heoric arias	The king consorts, Robert King	
hae	15	classique	Händel, Georg Fiedrich	8 suites pour clavecin	Scott Ross	2CD
hahn	1	classique	Hahn, Reynaldo	Mélodies	Mady Mesplé (soprano), Dalton Baldwin (piano)	
hans	1	classique	Hanson, Howard	Symphonie No.4 "requiem", Suite from Merry Mount, Lament for Beowulf	Symphonique de Seattle, Gérard Schwartz	
harr	1	classique	Harris, Schumann	Symphonie No.3	Philarmonique de New York, Léonard Bernstein	
hart	1	classique	Hartmann, Karl Amadeus	8 Symphonies, Vol.1	Orchestre de la radio bavaroise	2 CD
hart	2	classique	Hartmann, Karl Amadeus	8 Symphonies, Vol.2	Orchestre de la radio bavaroise	2 CD
hay	11	classique	Haydn, Joseph	les six dernières sonates	Glenn Gould	2 CD
hay	21	classique	Haydn, Joseph	11 Sonates pour piano, Fantasia, Andante, Adagio		4cd+livret
hay	27	classique	Haydn, Joseph	Les sept dernières paroles de notre rédompteur sur la croix	Quatuor Mosaïques	
hay	24	classique	Haydn, Joseph	Sonates pour piano No.19 et 46	Ivo Pogorelich	
hay	4	classique	Haydn, Joseph	London trios (1-4), Divertissements Op.100 1,6	Jean-Pierre Rampal, Isaac Stern, Rostropovich	
hay	34	classique	Haydn, Joseph	Trios pour pianoforte, violon et violoncelle Vol.2	Patrick Cohen, Eric Höbarth, Christophe Coin	
hay	35	classique	Haydn, Joseph	Trios pour pianoforte, violon et violoncelle Vol.1	Patrick Cohen, Eric Höbarth, Christophe Coin	
hay	36	classique	Haydn, Joseph	Trios pour pianoforte, violon et violoncelle Vol.3	Patrick Cohen, Eric Höbarth, Christophe Coin	
hay	30	classique	Haydn, Pokorny	Concertos pour cor No.1,2, Concerto pour 2 cors de haydn, concerto pour cor en ré de Pokorny	Hermann Baumann et Timothy Brown (cor), Academy de Saint Martin des Champs, Iona Brown	
hay	29	classique	Haydn, Joseph	Les sept dernière parole du christ	Arnold Schoenberg (Chor), Concentus musicus Wien, Nikolaus Harnoncourt	
hay	8	classique	Haydn, Joseph	Zingarese, Ländler des saisons, Nocturnes	Ensemble bella musica de Wien, Michael Dittrich	
hay	7	classique	Haydn, Joseph	Symphonies 93,94(surprise), et 96 (Miracle)	orchestre d'Amsterdam, Sir Colin Davis	
hay	10	classique	Haydn, Joseph	Sonates et pièces pour le pianoforte	paul Badura-Skoda	
hay	13	classique	Haydn, Joseph	Concerto pour violoncelle	Chrisyophe Coin (violoncelle), The academy of ancient music, Christopher Hogwood	
hay	39	classique	Haydn, Joseph	Symphonie No.103 (roulement de timbales) et 104 (Londres)	Royal Concertgebouw Orchestra, Nikolaus Harnoncourt	
hay	19	classique	Haydn, Salomon	Concerti pour violon 1,3,4, Romance pour violon et orchestre à cordes de Salomon	Simon Standage (violon), The english concert, Trevor Pinnock	
hay	1	classique	Haydn, Joseph	3 Quatuors à cordes (Op.3 n1, et Op.76 n2,3)	Philarmonia quartet Berlin	
