codelettres	numero	categorie	compositeurs	oeuvres	interpretes	remarques
alb	1	classique	Albeniz, Isaac	Iberia	Yvonne Loriod	
ala	1	classique	Alain, Jehan	L'oeuvre pour orgue Vol. 1	Marie-Claire Alain	
ala	2	classique	Alain, Jehan	L'oeuvre pour orgue Vol. 2	Marie-Claire Alain	
ada	2	classique	Adams, John	The Chairman Dances	San Francisco Symphony - Edo de Waart	
alb	2	classique	Albeniz, Isaac	Iberia	Alicia de Larrocha	Coffret - CD n°1 manquant
alb	6	classique	Albeniz, Isaac	Iberia - Chants d'Espagne - Suite espagnole	Ricardo Requejo	
albe	1	classique	Albert, Heinrich	Lieder von Liebe und Tod	Cantus Cölln, Konrad Junghänel	
alfv	3	classique	Alfven, Hugo	Symphony n°4 Op. 39, En skargardssagen	Stockholm Philharmonic Orchestra, Neeme Järvi	
alfo	1	classique	Alfonso x el sabio	Cantigas de Santa Maria	La Capella reial de Catalunya, Jordi Savall	
alfv	1	classique	Alfven, Hugo	Midsummer Vigil, The Mountain King, The Prodigal Son	Stockholm Philharmonic Orchestra, Stig Westerberg	
alfv	2	classique	Alfven, Hugo	The Prodigal Son, Midsummer Vigil, Songs, Violin Sonata	Interprètes variés	
ali	3	classique	Albinoni, Tomaso	Concerti per Oboe	Heinz Holliger, Hans Elhorst, Camerata Bern	
ali	5	classique	Albinoni, Tomaso	Sonate da chiesa op 4, Trattenimenti Armonici op 6	The Locatelli Trio	Coffret - 2 CD
alka	1	classique	Alkan, Charles	Pièces pour piano	Bernard Ringeissen	
alka	2	classique	Alkan, Charles	Grande Sonate pour piano Op. 33, Sonatine pour piano, Op. 61	Pierre Réach	
alka	3	classique	Alkan, Charles	Concerto pour piano seul	Marc-André Hamelin	
all	1	classique	Allegri, Gregorio	Miserere	Choir of Westminster Cathedral, Stephen Cleobury	
all	2	classique	Allegri - Palestrina	Miserere - Stabat Mater	Choir of King's College, Cambridge, Sir David Willcocks	boîte cassée
all	3	classique	Allegri, Gregorio	Miserere/Messe - Motets	A sei voci	
all	4	classique	Allegri, Gregorio	Miserere/Messe - Motets	A sei voci	
ang	1	classique	D'Anglebert	Pièces pour clavier	Scott Ross (clavecin, orgue)	Coffret - 2 CD
arn	1	classique	Arne, Thomas	The Six Organ Concertos	Roger Bevan Williams (orgue), Adrian Shepherd (chef d'orchestre)	Coffret - 2 CD
arn	2	classique	Arne, Thomas	Four Symphonies	Cantilena, Adrian Shepherd	
arno	1	classique	Arnold, Malcolm	Symphony No. 4	London Philharmonic Orchestra, Malcolm Arnold	
arno	2	classique	Arnold, Malcolm	Symphonies N° 7 et 8	Royal Philharmonic Orchestra, Vernon Handley	
arno	3	classique	Arnold, Malcolm	Symphonies N° 2 et 5 - Peterloo Overture	Sir Charles Grove, Malcolm Arnold	
art	1	classique	Artyomov, Vyacheslav	Elegies	Interprètes variés	
atte	1	classique	Atterberg, Kurt	Violin Sonata - Trio Concertante	Interprètes variés	
bala	1	classique	Balakirev, M.	King Lear, Suite in B minor, Overture on the theme of Spanish March	Evgeni Svetlanov	
bala	2	classique	Balakirev, M.	Symphony N° 2 - Tamara - In Bohemia	Evgeni Svetlanov	
bant	1	classique	Bantock, Sir Granville	Pagan Symphony - Fifine at the Fair - Two Heroic Ballads	Royal Philharmonic Orchestra, Vernon Handley	
bch	1	classique	Bach, Johann-Michaël et Johann-Christoph et Johann	Motetten	Collegium Vocale Gent	
bch	2	classique	Bach, Johann Michaël et Georg Christoph et Johann Christoph	Kantaten aus dem alt-bachischen Archiv	Capella Fidicina, Hans Grüss	
bch	3	classique	Bach, Carl Philipp Emmanuel	Sämtliche Flötensonaten	Konrad Hünteler, Anner Bylsma, Jacques Ogg	Coffret - 2 CD
bch	4	classique	Bach, Carl Philipp Emmanuel	Concerti a violoncello	Julius Berger, Jack Martin Händler	
bch	5	classique	Bach, Carl Philipp Emmanuel	Cello Concertos	Anner Bylsma, Gustav Leonhardt	
bch	6	classique	Bach, Carl Philipp Emmanuel	Markus-Passion	Helmuth Rilling	Coffret - 2 CD
bch	7	classique	Bach, Carl Philipp Emmanuel	Die letzten Leiden des Erlösers	La petite Bande, Sigiswald Kuijken	Coffret - 2 CD
jsb	1	classique	Bach, Jean-Sébastien	Brandenburgische Konzerte 1-2-3	The English Concert, Trevor Pinnock	
jsb	2	classique	Bach, Jean-Sébastien	Brandenburgische Konzerte 4-5-6	The English Concert, Trevor Pinnock	
jsb	4	classique	Bach, Jean-Sébastien	The Goldberg Variations	Glenn Gould	
jsb	6	classique	Bach, Jean-Sébastien	L'Offrande Musicale - L'Art de la Fugue	Musica Antiqua Köln, Reinhard Goebel	Coffret - 3CD
jsb	7	classique	Bach, Jean-Sébastien	Toccata et fugue en ré mineur - Passacaille en ut mineur	Marie-Claire Alain	
jsb	8	classique	Bach, Jean-Sébastien	Italienisches Konzert BWV 791 - Fantaisie chromatique et Fugue BWV 903 et autres	Alfred Brendel	
jsb	9	classique	Bach, Jean-Sébastien	Toccatas et Fugues	Helmut Walcha, orgue	
jsb	12	classique	Bach, Jean-Sébastien	6 Suites pour violoncelle	Mischa Maisky	
jsb	3	classique	Bach, Jean-Sébastien	6 Cello-Suiten	Mischa Maisky	Coffret - 3 CD
jsb	13	opera	Bach, Jean-Sébastien	Das Kantatenwerk Vol. 1	Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 2 CD
jsb	14	classique	Bach, Jean-Sébastien	4 Orchestral Suites	Stuttgarter Kammerorchester, Karl Münchinger	Coffret - 2 CD
jsb	15	classique	Bach, Jean-Sébastien	3 Sonates & 3 Partitas pour violon solo BMW 1001/6	Jean-Jacques Kantorow	Coffret - 3 CD, manque 1 CD
jsb	16	classique	Bach, Jean-Sébastien	Sonates pour flûte BWV 1020, 1030-1035	Jean-Pierre Rampal, Trevor Pinnock, Roland Pidoux	Coffret - 2 CD
jsb	17	classique	Bach, Jean-Sébastien	Motets	Philippe Herreweghe	
jsb	18	classique	Bach, Jean-Sébastien	Die Konzerte f£ur 3 und 4 Cembali	The English Concert, Trevor Pinnock	
jsb	19	classique	Bach, Jean-Sébastien	Toccata et Fugue en ré mineur BWV 565 et autres	Hans Otto, orgue	
jsb	20	classique	Bach, Jean-Sébastien	Les Suites Françaises	Glenn Gould	
jsb	21	classique	Bach, Jean-Sébastien	The 6 Partitas BWV 825-830	Jean-Louis Steuermann	Coffret - 2 CD
jsb	23	classique	Bach, Jean-Sébastien	Les Suites Anglaises - Ouverture dans le style français BWV 831	Glenn Gould	Coffret - 2 CD
jsb	24	classique	Bach, Jean-Sébastien	Chorals pour orgue	Marie-Claire Alain	
jsb	25	classique	Bach, Jean-Sébastien	L'Offrande musicale	Académie de St Martin-in-the-Fields, Neville Mariner	
jsb	26	classique	Bach, Jean-Sébastien	Variations Goldberg	Daniel Barenboïm	Coffret - 2 CD
jsb	27	classique	Bach, Jean-Sébastien	Ouvertures N° 3 & 4	Concentus Musicus Wien, Nikolaus Harnoncourt	
jsb	28	classique	Bach, Jean-Sébastien	Le Clavier bien tempéré Vol. 1 & 2	Friedrich Gulda	Coffret - 4 CD
jsb	29	classique	Bach, Jean-Sébastien	Concertos pour Clavecin et Orchestre à Cordes BWV 1052-1053-1054	The English Concert, Trevor Pinnock	
jsb	30	classique	Bach, Jean-Sébastien	Concertos pour Clavecin et Orchestre à Cordes BWV 1056-1057-1058	The English Concert, Trevor Pinnock	
jsb	31	classique	Bach, Jean-Sébastien	Inventions et Sinfonies	Huguette Dreyfus, clavecin	plus de livret
jsb	32	classique	Bach, Jean-Sébastien	Cantates	Münchener Bach-Chor & Orchester, Karl Richter	Coffret - 3 CD (+ livret)
jsb	33	classique	Bach, Jean-Sébastien	Partitas BWV 825 à 830	Kenneth Gilbert, Clavecin	disque 2 très endommagé
jsb	5	classique	Bach, Jean-Sébastien	Partitas BWV 825 à 830	Kenneth Gilbert, Clavecin	Coffret - 2 CD - disque 2 très endommagé
jsb	34	classique	Bach, Jean-Sébastien	Cantate du café BWV 211- Cantate des paysans BWV 212	THe Academy of Ancient Music, Christopher Hogwood	CD endommagé
jsb	35	classique	Bach, Jean-Sébastien	Suites pour violoncelle BWV 1008-1009-1012	Paul Tortelier	
jsb	36	classique	Bach, Jean-Sébastien	Suites pour violoncelle BWV 1007-1010-1011	Paul Tortelier	
jsb	37	classique	Bach, Jean-Sébastien	Passion selon Saint-Jean	Collegium Vocale, Gent - Orchestre de La Chapelle Royale, Paris	Coffret - 2 CD
jsb	38	classique	Bach, Jean-Sébastien	Partitas, Preludes, Fugues et Fughettas	Glenn Gould	Coffret - 2 CD
jsb	40	classique	Bach, Jean-Sébastien	Passion selon Saint-Matthier	Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 3 CD
jsb	41	classique	Bach, Jean-Sébastien	Claveir-Übung 1. Teil - 6 Partitas	Gustav Leonhardt, clavecin	Coffret - 2 CD
jsb	42	classique	Bach, Jean-Sébastien	Messe en si mineur BWV 232	Gustav Leonhardt	Coffret - 2 CD, boîte cassée
jsb	43	classique	Bach, Jean-Sébastien	L'oeuvre de Luth	Hopkinson Smith	
jsb	44	classique	Bach, Jean-Sébastien	Trauerode BWV 198 - Cantate BWV 78	La Chapelle Royale, Philippe Herreweghe	
jsb	45	classique	Bach, Jean-Sébastien	6 Sonates pour piano et violon	Monica Huggette, Ton Koopman	Coffret - 2 CD
jsb	46	classique	Bach, Jean-Sébastien	L'Oeuvre d'orgue Vol. 4	Michel Chapuis	
jsb	47	classique	Bach, Jean-Sébastien	L'Oeuvre d'Orgue Vol. 5	Michel Chapuis	
jsb	49	classique	Bach, Jean-Sébastien	Ouvertures N° 1 & 2	Concentus Musicus Wien	
jsb	53	classique	Bach, Jean-Sébastien	L'Art de la FUgue	Hespèrion XX, Jordi Savall	Coffret - 2 CD
jsb	56	classique	Bach, Jean-Sébastien	Le Clavier bien tempéré	Edwin Fischer, piano	Coffret - 3 CD
jsb	57	classique	Bach, Jean-Sébastien	Concertos pour piano BWV 1052-1058	Andrei Gavrilov, Neville Marriner	Coffret - 2 CD
jsb	58	classique	Bach, Jean-Sébastien	Sonates & Partitas pour violon BWV 1001-1006	Sigiswald Kuijken	disque partiellement rayé
jsb	61	classique	Bach, Jean-Sébastien	Sonates et Partitas pour violon	Nathan Milstein	Coffret - 2 CD
jsb	62	classique	Bach, Jean-Sébastien	Sonates et Partita arrangées pour Violoncelle Piccolo	Anner Bylsma	
jsb	63	classique	Bach, Jean-Sébastien	6 suites pour violoncelle seul 	Anner Bylsma	Coffret - 2 CD
jsb	64	classique	Bach/Busoni	Oeuvres diverses pour piano	Maria Tipo	
jsb	65	classique	Bach, Jean-Sébastien	Concertos Brandebourgeois N° 1-2-3	Marlboro Festival Orchestra, Pablo Casals	
jsb	66	classique	Bach, Jean-Sébastien	Concertos Brandebourgeois N° 4-5-6	Marlboro Festival Orchestra, Pablo Casals	
jsb	67	classique	Bach, Jean-Sébastien	3 Sonates pour violoncelle et piano	Pablo Casals, Paul Baumgartner	
jsb	68	opera	Bach, Jean-Sébastien	Das Kantatenwerk Vol. 2	Nikolaus Harnoncourt, Gustav Leonhardt	Coffret - 2 CD
jsb	69	opera	Bach, Jean-Sébastien	Das Kantatenwerk Vol. 3	Gustav Leonhardt, Nikolaus Harnoncourt	Coffret - 2 CD
jsb	73	classique	Bach, Jean-Sébastien	Messe en si mineur	RIAS Kammerchor - RSO Berlin, Lorin Maazel	Coffret - 2 CD
jsb	74	classique	Bach, Jean-Sébastien	The complete organ music Vol. 1	Hans Faguis	Coffret - 2 CD
jsb	75	classique	Bach, Jean-Sébastien	The complete organ music Vol. 2	Hans Faguis	Coffret - 2 CD
jsb	76	classique	Bach, Jean-Sébastien	Sonates et Partitas pour violon solo	Nathan Milstein	Coffret - 2 CD, boîte cassée
ver	16	opera	Verdi, Giuseppe	La Traviata (extraits)	Callas	
ver	20	classique	Verdi, Giuseppe	Ouvertures et préludes	Berliner Philharmoniker, Herbert von Karajan	2 CD
vic	1	classique	Victoria, Tomas Luis de	Requiem	The Tallis Scholars	
vic	2	classique	Victoria, Tomas Luis de	Responsories for tenebrae	Choir of westminster cathedral	
brb	1	classique	Barber	Adagio-Symphony no 1	David Zinman-Baltimore Orchestra	
brb	2	classique	Barber-Britten	cello concerto	yo-yo ma	
brb	3	classique	Barber-Maxwell Davies	violin concertos	isaac stern	
vic	3	classique	Victoria, Tomas Luis de	Cantica beatae virginis	La capella reial de catalunya Hesperion XX	
jsb	10	classique	Bach, Jean-Sébastien	arias	Izhak Perlman-Kathleen Battle	
jsb	11	classique	Bach Haendel	L'art de la fugue-Suites for Harpsichord	Glenn Gould	
jsb	79	classique	Bach, Jean-Sébastien	variations goldberg	blandine verlet	
jsb	80	classique	Bach, Jean-Sébastien	l'oeuvre d'orgue	michel chapuis	
jsb	81	classique	Bach, Jean-Sébastien	le clavier bien tempere	gustav leonhardt	2 CD
jsb	86	classique	Bach, Jean-Sébastien	variations goldberg	Pierre Hantai	
jsb	83	classique	Bach, Jean-Sébastien	johannes passion	frans brugen	coffret 2 cd
jsb	84	classique	Bach, Jean-Sébastien	orgue	andre isoir	vol 8 (? : Mathieu)
jsb	22	classique	Bach, Jean-Sébastien	sonates pour flute 	jean-pierre rampal; trevor pinock; roland pidoux	
jsb	89	classique	Bach, Jean-Sébastien	orgue	andre isoir	
jsb	90	classique	Bach, Jean-Sébastien	orgue	andre isoir	
jsb	91	classique	Bach, Jean-Sébastien	orgue pastorale	andre isoir	
vie	1	classique	Vierne, Louis	Symphonies pour orgue	Marie-Claire Alain	
vie	2	classique	Vierne, Louis	Symphonies pour orgue	Pierre Cochereau	
bar	1	classique	Bartòk, Béla	concerto pour orchestre - suite de danses	Chicago Symphony Orchestra - Sir Georg Solti	
bar	2	classique	Bartòk, Béla	sonates pour violon et piano	Yehudi et Jeremy Menuhin	
jsb	60	classique	Bach, Jean-Sébastien	Variations Goldberg - Préludes et Fugues	Glenn Gould, piano	
jsb	59	classique	Bach, Jean-Sébastien	Inventions BWV 772-801	Glenn Gould	
jsb	55	classique	Bach/Busoni	Transcriptions diverses	Nikolai Demidenko, piano	
jsb	54	classique	Bach, Jean-Sébastien	Messe en si mineur	Concentus musicus Wien Nikolaus Harnoncourt	Coffret - 2 CD
jsb	51	classique	Bach, Jean-Sébastien	Suites pour violoncelle N° 1, 4 & 5	Mstislav Rostropovitch	
jsb	50	classique	Bach, Jean-Sébastien et Carl Philipp Emanuel	Oeuvres diverses pour harpe	Chantal Mathieu	
jsb	48	classique	Bach, Jean-Sébastien	Passion selon Saint-Matthieu	Wiener Singakademie, Wilhelm Furtwängler	Coffret - 2 CD
jsb	39	classique	Bach, Jean-Sébastien	18 Chorals-Poèmes	Jean Boyer, orgue	Coffret - 2 CD + un jeu débile à l'intérieur...
bar	4	classique	Bartòk, Béla	3e et 4e quatuors	quatuor Végh	
bar	5	classique	Bartòk, Béla	le Mandarin merveilleux - musique pour cordes, percussions et célesta	Detroit Symphony Orchestra - Antal Dorati	
bar	6	classique	Bartòk, Béla	quatuors à cordes n° 5 et 6	quatuor Végh	
bar	3	classique	Bartòk, Béla	Le Chateau de Barbe Bleue (opéra en 1 acte op 11)	 choeur et orchestre national de Hongrie	
bar	9	classique	Bartok / Brahms	sonate pour 2 pianos et percussions / variations sur un thème de Haydn	Murray Perahia - Sir Georg Solti	
bar	10	classique	Bartok / Kodaly	sonate pour violon seul / duo op 7 pour violon et violoncelle	Gerard Poulet (violon) - Christoph Henkel (violoncelle)	
bar	11	classique	Bartòk, Béla	Concerto pour alto et orchestre - le Mandarin merveilleux - concerto pour piano n°2	Ernest Bour - William Primrose - Claude Helffer	
bar	13	classique	Bartok / Prokofiev	le Mandarin merveilleux - Deux Portraits / Suite Scythe	London Symphony Orchestra / Chicago Symphony Orchestra - Claudio Abbado	
bar	14	classique	Bartòk, Béla	les 3 concertos pour pianos	György Sandor - Hungarian State Orchestra - Adam Fischer	
bar	16	classique	Bartòk, Béla	Microcosmos	Claude  Helffer, piano	2 Cd; 1 manquant
bar	17	classique	Bartòk, Béla	concertos pour violon n° 1 et 2	Midori - Berliner Philarmoniker - Zubin Mehta	
bar	18	classique	Bartòk, Béla	Concerto pour orchestre - Divertimento pour orchestre à cordes	Academy of St Martin in the Fields - Sir Neville Marriner	
bar	19	classique	Bartòk, Béla	27 choeurs	Schola Hungarica - Laszlo Dobszay	
bar	20	classique	Bartòk, Béla	Cantata Profana - Concerto pour orchestre	Budapest Symphony Orchestra - Hungarian State Orchestra	
bax	1	classique	Bax, Arnold	cello concerto - Northern Ballad - Cortège for Orchestra - Mediterranean - Overture to a Picaresque Comedy	Raphael Wallfisch - London Philarmonic Orchestra	
bax	2	classique	Bax, Arnold	symphonie n°6 - festival overture	London Philarmonic Orchestra	
bax	3	classique	Bax, Arnold	symphonie n°2 - Nympholept (poème symphonique)	London Philharmonic Orchestra	
rst	14	opera	Strauss, Richard	Arabella	Joseph Keilberth	coffret 3CD / diapason d'or
rst	5	classique	Strauss, Richard	Ainsi parlait Zarathoustra, Till Eulenspiegels, Don Juan	George Solti - Chicago Symphony Orchestra	
rst	1	classique	Strauss, Richard	Don Juan, Till Eulenspiegels, Mort et Transfiguration	Claudio Abbado, London Symphony Orchestra	
rst	2	classique	Strauss, Richard	4 derniers lieder, lieder avec Orchestre	Jessy Norman - Orchestre de Leipzig	
rst	3	classique	Strauss, Richard	Symphonie Alpestre	Philharmonique de Berlin, Karajan	
rst	4	classique	Strauss, Richard	Une vie de héros	Ozawa - Orchestre symphonique de Boston	
rst	11	classique	Strauss, Richard	Don Quichotte, Mort et Transfiguration	Pierre Fournier, Karajan, Philharmonique de Berlin	
rst	13	classique	Strauss, Richard	Don Juan, Aus Italien op.16	Orchestre Philharmonique de Berlin, R. Muti	
rst	16	classique	Strauss, Richard	Une vie de héros, Ainsi Parlait Zarathoustra, Don Quichotte, Mort et Transfiguration, Aus Italien	divers	coffret 2 CD
rst	20	classique	Strauss, Richard	4 derniers lieder, 12 lieder pour orchestre	E. Schwarzkopf - Orchestre Symphonique de la Radio de Berlin, G. Szell	Boîtier cassé
str	13	classique	Stravinsky, Igor	"Ballets vol.1": L'oiseau de feu, Petrouchka, Le sacre du Printemps, les Noces, Renard, l'Histoire du Soldat, Scherzo à la Russe, Scherzo Fantastique	Orchestre Symphonique de Colombie, etc.	coffret 3 CD
str	19	classique	Stravinsky, Igor	Prélude pour groupe de Jazz, Concerto pour douze instruments, Septuor & Octuor, Tango, Pastorale, Ragtime pour onze instruments, Concerto Ebony, Symphonie d'Instruments à vent	Orchestres de Colombie	coffret 2 CD
str	16	classique	Stravinsky, Igor	Symphonie en mi bémol majeur - Stravinsky en répétition - Stravinsky se souvient - Symphonie en 3 mouvements - Symphonie en ut - Symphonie de psaumes	Orchestres de Colombie	coffret 2 CD
str	18	classique	Stravinsky, Igor	Petites pièces orchestrales	Orchestres de Colombie	
str	25	classique	Stravinsky, Igor	le Sacre du Printemps, Petrouchka	Boston Symphony Orchestra	gold seal
str	17	classique	Stravinsky, Igor	Concerto pour piano et orchestre à vent - Mouvement pour piano et orchestre - Capriccio pour piano et orchestre - Concerto en ré pour violon et orchestre	Rosen - Orchestre de Colombie	
str	15	classique	Stravinsky, Igor	Petrouchka, Pulcinella, L'oiseau de Feu	Orchestre de Colombie	
str	14	classique	Stravinsky, Igor	"ballets vol.2": Apollo, Agon, Jeu de Cartes, Scènes de Ballet, le Baiser de la Fée, Pulcinella, Orphée	Orchestres de Colombie	coffret 3 CD
str	20	classique	Stravinsky, Igor	opéras: Le Rossignol, Mavra - 35 chants	Orchestres de Colombie	coffret 2 CD
str	22	classique	Stravinsky, Igor	Oratorios - Mélodrames : Oedipe Roi, Le déluge, Perséphone, Ode, Monumentum pro gesualdo	Orchestres de Colombie	coffret 2 CD
str	23	classique	Stravinsky, Igor	Oeuvres sacrées: Cantates, Messe, Cantique Sacré, etc.	Orchestres de Colombie	coffret 2 CD
str	24	classique	Stravinsky, Igor	Chant du Rossignol, Danses Concertantes, Abraham et Isaac, Requiem Canticles	Orchestres de Colombie	
str	3	classique	Stravinsky - Poulenc	Symphonie des Psaumes (Stravinsky) - Gloria (Poulenc)	Choeurs et Orchestre Symphoniques d'Atlanta	
str	4	classique	Stravinsky, Igor	L'Oiseau de Feu	Ernest Ansermet	
str	5	classique	Stravinsky, Igor	Pulcinella - Le Chant du Rossignol	Orchestre National de France, Pierre Boulez	
str	6	classique	Stravinsky - Tchaikovski	Le Baiser de la Fée (Stravinsky) - Bluebird, Pas de deux (Tchaikovski)	Orchestre National d'Ecosse, Neeme Jarvi	
str	7	classique	Stravinsky, Igor	Les Noces - Berceuse du chat - Pribaoutki - Chansons Russes - 4 Chansons paysannes	Opéra de Paris, Pierre Boulez	
str	9	classique	Stravinsky, Igor	Oedipe Roi	Peter Pears, London Philharmonic Orchestra, George Solti	
str	11	classique	Stravinsky, Igor	Oedipe Roi	Jessy Norman, Thomas Moser, Alexandro Ionita, Michel Piccoli - Choeur & Orchestre de la radio bavaroise - Colin Davis	
rst	10	classique	Strauss, Richard	Métamorphoses, Mort et Transfiguration	Philharmonique de Berlin, Karajan	
sts	6	classique	Strauss (divers!)	Concert du Nouvel An 1994	Philharmonique de Vienne, L. Maazel	
sts	5	classique	Strauss (divers!)	Concert du Nouvel An 1992	Philharmonique de Vienne, Carlos Kleiber	
ver	2	opera	Verdi, Giuseppe	Le trouvère	Price, Corelli, Bastianini, Karajan	2 Cds
sts	3	classique	Strauss, Johann	Légendes de la Forêt Viennoise	Philharmonique de Vienne, Boskovsky	
sts	4	classique	Strauss, Johann & Joseph 	Valses et Polkas	Karajan, Philharmonique de Berlin	
suk	1	classique	Suk, Josef	Symphonie en mi majeur "Fantaisie"	V. Neumann, Orchestre Philharmonique Tchèque - J. Suk (au violon)	
suk	2	classique	Suk, Josef	Symphonie Asraël	J. Suk, Orchestre Philharmonique Tchèque	
sut	1	classique	Suter, Hermann	Le Laudi	Choeur et Orchestre de la radio hongroise, A. Ligeti	mais qui a bien pu acheter ça?
syb	1	classique	Syberg, Franz	Oeuvres Symphoniques	Odense Symphony Orchestra, T. Veto	
szy	1	classique	Szymanowzki, Vitold Lutoslawski, Krzysztof Penderecki	Quatuors à cordes	the Varsovia String Quartet	diapason d'or
tal	1	classique	Tallis, Thomas	Les Lamentations de Jérémie	Deller	
glss	6	classique	Glass, Philip	Concerto pour violon	Antony, Yuasa	
tal	2	classique	Tallis, Thomas	Spem in alium	Peter Phillips	
tal	4	classique	Tallis, Thomas	les Lamentations de Jérémie - Messe pour quatre voix	the Hilliard ensemble	
tal	5	classique	Tallis, Thomas	Spem in alium - Les lamentations de Jérémie	Choeur du Collège de Cambridge	
tal	6	classique	Tallis, Thomas	Gaude gloriosa magnifica and nunc dimitis	Choeur du Collège d'Oxford	
tal	8	classique	Tallis, Thomas	Messe pour quatre voix, Motets	Oxford Camerata	
tan	1	classique	Taneyev, Sergei Ivanovitch	Trio avec piano en ré majeur	the Borodin Trio	
tak	1	classique	Takemitsu, Toru	Quatrain, Un vol descend dans le jardin pentagonal, etc.	Boston Symphony Orchestra (Ozawa - Wakasugi)	
tans	1	classique	Tansman, Alexandre	intégrale des Quatuors à cordes	the Silezian String Quartet	coffret 2 CD
tans	2	classique	Tansman, Alexandre	Musique Française, oeuvre pour guitare	Alain Prévost	
tans	3	classique	Tansman - Harsanyi - Martinu	Septuor (Tansman) - Nonettes (Harsanyi & Martinu)	Armin Jordan - Orchestre de musique de chambre de Paris	
tar	1	classique	Tartini - Mozart	Sonate en sol mineur (Tartini) - Concerto pour violon n°5 (Mozart)	Lithuanian Chamber Orchestra, Sergei Krylov	
tar	2	classique	Tartini, Giuseppe	Concertos pour violon D.56, D.113, D.96	Uto Ughi, Claudio Scimone	
tau	1	classique	Tausch, Franz Wilhelm	double concerto pour clarinettes - mouvement de concerto en ré	English Chamber Orchestra - Thea King, Nicholas Bucknall - Leopold Hager	
tch	1	classique	Tchaikovski	Symphonie n°6 Pathétique	Philharmonique de Los Angeles, Giulini	
tch	2	classique	Tchaikovski	Concerto pour Piano n°1	Argerich, Kondrashin - Orchestre de la Radio Bavaroise	
tch	3	classique	Tchaikovski	Symphonie n°4	Philharmonique de Vienne, Karajan	
tch	4	classique	Tchaikovski - Prokofiev	Concertos pour piano n°1 (Tch.) - n°3 (Pr.)	Argerich - Orchestre Philharmonique Royal, Dutoit // Philharmonique de Berlin, Abbado	
tch	5	classique	Tchaikovski	Concerto pour violon	Perlman, Ormandy - Philadelphia Orchestra	
tch	9	classique	Tchaikovski	Trio avec piano op.50	Perlman, Ashkenazy, Harrell	
tch	13	classique	Tchaikovski, Balakirev, Liszt	Concerto pour piano n°1, Thème et variations op.19 n°6 (Tch.) - Islamey (Bal.) - la Campanella (Lis.)	Andrei Gavrilov - Philharmonia Orchestra, R.Muti	
tch	14	classique	Tchaikovski - Mendelssohn	Concertos pour violon 	G. Szell - New York Philharmonic Orchestra	
tch	15	classique	Tchaikovski	Variations sur un thème rococo pour violoncelle - Symphonie n°7	Leonard Rose - E. Ormandy, Philadelphia Orchestra	
tch	16	classique	Tchaikovski	Symphonie n°6	Philharmonique de Vienne, Karajan	
tch	18	classique	Tchaikovski	Symphonie n°2 (Little Russian) - Capriccio Italiano	Philharmonique d'Oslo, Mariss Jansons	
tch	20	classique	Tchaikovski	Ouverture de Roméo & Juliette, Symphonie n°3	Royal Philharmonic Orchestra, Thomas Beecham	
tch	21	classique	Tchaikovski - Borodine - Chostakovitch	Quatuor à corde n°1 (Tch.) - Quatuor à corde n°2 (Bor.) - Quatuor à corde n°8 (Chos.)	Gabrieli & Borodin Quartet	
tch	22	classique	Tchaikovski	Lieder op.65 & 73	Julia Varady, Aribert Reimann	
tch	23	classique	Tchaikovski	Symphonie Manfred	R. Muti, Philharmonia Orchestra	
tch	25	classique	Tchaikovski	Concerto pour violon, Concerto pour piano n°1, Variations Rococo, extraits d'Eugen Onegin, Symphonies n°4 et 6, extraits d'une Sérénade pour cordes - Hamlet, Romeo & Juliette, La Tempête	divers	4 CD
tch	26	classique	Tchaikovski	Symphonie n°6 Pathétique	Orchestre Symphonique d'Etat de Russie, E. Svetlanov	
tch	28	classique	Tchaikovski	Suites n°1 à 4	Orchestre Symphonique de Prague - Belohlavek	2 CD
tch	29	classique	Tchaikovski	Symphonie n°5	Orchestre d'Etat de Russie, Svetlanov	
tch	30	classique	Tchaikovski	Sérénade pour cordes, Souvenir de Florence	Vienna Chamber Orchestra, P. Entremont	
tch	31	classique	Tchaikovski	Ouverture Solennelle 1812 - Romeo et Juliette - Danses - Eugen Onegin - Oprichnik	divers orchestres - Colin Davis	
tch	32	classique	Tchaikovski	Concerto pour piano n°3 - Doumka pour piano op.59	Orchestre Symphonique de Saint Petersbourg, Ravil Martynow - Andrei Hoteiev	
tch	33	classique	Tchaikovski, Chostakovitch	Trios avec piano : op.50 (Tch.), n°2 op.67 (Chos.)	Pasquier, Pidoux, Pennetier	
tkv	1	classique	Thesnokov, Pavel	Chants religieux russes à travers les siècles	Choeur d'hommes Rybine, V. Rybin	
tel	1	classique	Telemann, Georg Philipp	5 concertos pour violon: n°3, 4, 8, 9 et 11	Iona Brown - Académie de St Martin in the Fields	
tel	2	classique	Telemann, Georg Philipp	Water Music - 3 concertos pour violon	Musica Antiqua Köln, Reinhard Goebel	
tel	3	classique	Telemann, Georg Philipp	5 concertos pour hautbois, cordes et basse continue	H. Holliger - Academy of St Martin in the Fields - Iona Brown	
tel	5	classique	Telemann, Georg Philipp	3 concertos pour hautbois	H. Holliger, Camerata Bern	
tel	6	classique	Telemann, Haendel, Bach, Mozart, Penderecki, Holliger	de tout et de n'importe quoi (même un lied pour flûte électrique)	Holliger	
